id,rda,units,tagname,nutr_desc,is_anti
203,60,g,PRO,Protein,f
204,90,g,FAT,Total lipid (fat),f
205,250,g,CARB,"Carbohydrate, by difference",f
207,,g,ASH,Ash,f
208,2050,kcal,CAL,Energy,f
209,,g,STARCH,Starch,f
210,,g,SUCS,Sucrose,f
211,,g,GLUS,Glucose (dextrose),f
212,,g,FRUS,Fructose,f
213,,g,LACS,Lactose,f
214,,g,MALS,Maltose,f
221,,g,ALC,"Alcohol, ethyl",f
255,,g,WATER,Water,f
262,,mg,CAFFN,Caffeine,f
263,,mg,THEBRN,Theobromine,f
268,,kJ,ENERC_KJ,Energy,f
269,80,g,SUGAR,"Sugars, total",f
287,,g,GALS,Galactose,f
291,30,g,FIBTG,"Fiber, total dietary",f
301,1300,mg,CA,"Calcium, Ca",f
303,18,mg,FE,"Iron, Fe",f
304,420,mg,MG,"Magnesium, Mg",f
305,1250,mg,P,"Phosphorus, P",f
306,4700,mg,K,"Potassium, K",f
307,1500,mg,NA,"Sodium, Na",f
309,11,mg,ZN,"Zinc, Zn",f
312,0.9,mg,CU,"Copper, Cu",f
313,,µg,FL,"Fluoride, F",f
315,2.3,mg,MN,"Manganese, Mn",f
317,55,µg,SE,"Selenium, Se",f
318,5000,IU,VITA_IU,"Vitamin A, IU",f
319,,µg,RETOL,Retinol,f
320,900,µg,VITA_RAE,"Vitamin A, RAE",f
321,,µg,CARTB,"Carotene, beta",f
322,,µg,CARTA,"Carotene, alpha",f
323,,mg,TOCPHA,Vitamin E (alpha-tocopherol),f
324,400,IU,VITD_IU,Vitamin D,f
325,,µg,ERGCAL,Vitamin D2 (ergocalciferol),f
326,,µg,CHOCAL,Vitamin D3 (cholecalciferol),f
328,20,µg,VITD,Vitamin D (D2 + D3),f
334,,µg,CRYPX,"Cryptoxanthin, beta",f
337,3000,µg,LYCPN,Lycopene,f
338,7000,µg,LUTZEA,Lutein + zeaxanthin,f
341,,mg,TOCPHB,"Tocopherol, beta",f
342,,mg,TOCPHG,"Tocopherol, gamma",f
343,,mg,TOCPHD,"Tocopherol, delta",f
344,,mg,TOCTRA,"Tocotrienol, alpha",f
345,,mg,TOCTRB,"Tocotrienol, beta",f
346,,mg,TOCTRG,"Tocotrienol, gamma",f
347,,mg,TOCTRD,"Tocotrienol, delta",f
401,90,mg,VITC,"Vitamin C, total ascorbic acid",f
404,1.2,mg,B1,Thiamin,f
405,1.3,mg,B2,Riboflavin,f
406,16,mg,B3,Niacin,f
410,5,mg,B5,Pantothenic acid,f
415,1.7,mg,B6,Vitamin B-6,f
417,400,µg,B9,"Folate, total",f
418,2.4,µg,B12,Vitamin B-12,f
421,550,mg,CHO,"Choline, total",f
428,,µg,MK4,Menaquinone-4,f
429,,µg,VITK1D,Dihydrophylloquinone,f
430,120,µg,VITK,Vitamin K (phylloquinone),f
431,,µg,FOLAC,Folic acid,f
432,,µg,FOLFD,"Folate, food",f
435,,µg,FOLDFE,"Folate, DFE",f
454,,mg,BETN,Betaine,f
501,0.3,g,TRP_G,Tryptophan,f
502,1,g,THR_G,Threonine,f
503,1.4,g,ILE_G,Isoleucine,f
504,2.7,g,LEU_G,Leucine,f
505,2.1,g,LYS_G,Lysine,f
506,0.8,g,MET_G,Methionine,f
507,,g,CYS_G,Cystine,f
508,1.2,g,PHE_G,Phenylalanine,f
509,1.4,g,TYR_G,Tyrosine,f
510,1.8,g,VAL_G,Valine,f
511,1,g,ARG_G,Arginine,f
512,0.8,g,HISTN_G,Histidine,f
513,1,g,ALA_G,Alanine,f
514,1,g,ASP_G,Aspartic acid,f
515,2,g,GLU_G,Glutamic acid,f
516,0.8,g,GLY_G,Glycine,f
517,0.6,g,PRO_G,Proline,f
518,1.6,g,SER_G,Serine,f
521,,g,HYP,Hydroxyproline,f
573,,mg,VITE_ADD,"Vitamin E, added",f
578,,µg,B12_ADD,"Vitamin B-12, added",f
601,200,mg,CHOLEST,Cholesterol,f
605,0,g,FATRN,"Fatty acids, total trans",f
606,30,g,FASAT,"Fatty acids, total saturated",f
607,,g,F4D0,4:0,f
608,,g,F6D0,6:0,f
609,,g,F8D0,8:0,f
610,,g,F10D0,10:0,f
611,,g,F12D0,12:0,f
612,,g,F14D0,14:0,f
613,,g,F16D0,16:0,f
614,,g,F18D0,18:0,f
615,,g,F20D0,20:0,f
617,,g,F18D1,18:1 undifferentiated,f
618,,g,F18D2,18:2 undifferentiated,f
619,,g,F18D3,18:3 undifferentiated,f
620,,g,F20D4,20:4 undifferentiated,f
621,0.2,g,F22D6,22:6 n-3 (DHA),f
624,,g,F22D0,22:0,f
625,,g,F14D1,14:1,f
626,,g,F16D1,16:1 undifferentiated,f
627,,g,F18D4,18:4,f
628,,g,F20D1,20:1,f
629,0.1,g,F20D5,20:5 n-3 (EPA),f
630,,g,F22D1,22:1 undifferentiated,f
631,,g,F22D5,22:5 n-3 (DPA),f
636,,mg,PHYSTR,Phytosterols,f
638,,mg,STID7,Stigmasterol,f
639,,mg,CAMD5,Campesterol,f
641,,mg,SITSTR,Beta-sitosterol,f
645,35,g,FAMS,"Fatty acids, total monounsaturated",f
646,25,g,FAPU,"Fatty acids, total polyunsaturated",f
652,,g,F15D0,15:0,f
653,,g,F17D0,17:0,f
654,,g,F24D0,24:0,f
662,,g,F16D1T,16:1 t,f
663,,g,F18D1T,18:1 t,f
664,,g,F22D1T,22:1 t,f
665,,g,F18D2NFD,18:2 t not further defined,f
666,,g,F18D2I,18:2 i,f
669,,g,F18D2TT,"18:2 t,t",f
670,,g,F18D2CLA,18:2 CLAs,f
671,,g,F24D1C,24:1 c,f
672,,g,F20D2CN6,"20:2 n-6 c,c",f
673,,g,F16D1C,16:1 c,f
674,,g,F18D1C,18:1 c,f
675,,g,F18D2CN6,"18:2 n-6 c,c",f
676,,g,F22D1C,22:1 c,f
685,,g,F18D3CN6,"18:3 n-6 c,c,c",f
687,,g,F17D1,17:1,f
689,,g,F20D3,20:3 undifferentiated,f
693,,g,FATRNM,"Fatty acids, total trans-monoenoic",f
695,,g,FATRNP,"Fatty acids, total trans-polyenoic",f
696,,g,F13D0,13:0,f
697,,g,F15D1,15:1,f
851,,g,F18D3CN3,"18:3 n-3 c,c,c (ALA)",f
852,,g,F20D3N3,20:3 n-3,f
853,,g,F20D3N6,20:3 n-6,f
855,,g,F20D4N6,20:4 n-6,f
856,,g,F18D3I,18:3i,f
857,,g,F21D5,21:5,f
858,,g,F22D4,22:4,f
859,,g,F18D1TN7,18:1-11 t (18:1t n-7),f
710,30,mg,DAID,Daidzein,f
711,15,mg,GENI,Genistein,f
712,,mg,GLYC,Glycitein,f
713,45,mg,TOTISO,Total isoflavones,f
714,,mg,BIOC,Biochanin A,f
715,,mg,FORM,Formononetin,f
716,,mg,COUM,Coumestrol,f
734,5,mg,PAdimer,Proanthocyanidin dimers,f
735,5,mg,PAtrimer,Proanthocyanidin trimers,f
736,20,mg,PA4-6mer,Proanthocyanidin 4-6mers,f
737,20,mg,PA7-10mer,Proanthocyanidin 7-10mers,f
738,60,mg,PApolymer,Proanthocyanidin polymers (>10mers),f
731,20,mg,CYAD,Cyanidin,f
740,,mg,PETUNIDIN,Petunidin,f
741,,mg,DELPH,Delphinidin ,f
742,,mg,MALVIDIN,Malvidin,f
743,,mg,PELA,Pelargonidin,f
745,,mg,PEONIDIN,Peonidin,f
749,40,mg,CATE,(+)-Catechin,f
750,40,mg,EPICATEGC,(-)-Epigallocatechin,f
751,40,mg,EPICATEC,(-)-Epicatechin,f
752,40,mg,EPICATECG3,(-)-Epicatechin 3-gallate,f
753,60,mg,EGCG,(-)-Epigallocatechin 3-gallate,f
755,,mg,THEAF,Theaflavin,f
756,,mg,THEAR,Thearubigins,f
758,,mg,ERIOD,Eriodictyol,f
759,80,mg,HESPT,Hesperetin,f
762,60,mg,NARING,Naringenin,f
770,30,mg,APIGEN,Apigenin,f
773,20,mg,LUTEOL,Luteolin,f
785,5,mg,ISORHAM,Isorhamnetin,f
786,5,mg,KAEMF,Kaempferol,f
788,2,mg,MYRIC,Myricetin,f
789,20,mg,QUERCE,Quercetin,f
791,,mg,THEA3DI,"Theaflavin-3,3'-digallate",f
792,,mg,THEA3GP,Theaflavin-3'-gallate,f
793,,mg,THEA3G,Theaflavin-3-gallate,f
794,,mg,GALCATEGC,(+)-Gallocatechin,f
